
Randaugment!
Number of final features: 405
Number of model parameters: 1018900
Epoch: [1][360/449]	Time 0.206 (0.200)	Loss 1.6539 (1.7915)	Prec@1 32.812 (26.454)	
Epoch: [1][370/449]	Time 0.202 (0.200)	Loss 1.7647 (1.7913)	Prec@1 32.812 (26.478)	
Epoch: [1][380/449]	Time 0.175 (0.200)	Loss 1.8235 (1.7902)	Prec@1 28.125 (26.579)	
Epoch: [1][390/449]	Time 0.146 (0.199)	Loss 1.6327 (1.7896)	Prec@1 45.312 (26.667)	
Epoch: [1][400/449]	Time 0.217 (0.198)	Loss 1.8863 (1.7881)	Prec@1 26.562 (26.762)	
Epoch: [1][410/449]	Time 0.206 (0.198)	Loss 1.7536 (1.7874)	Prec@1 34.375 (26.822)	
Epoch: [1][420/449]	Time 0.207 (0.198)	Loss 1.7230 (1.7859)	Prec@1 34.375 (26.897)	
Epoch: [1][430/449]	Time 0.210 (0.198)	Loss 1.7969 (1.7865)	Prec@1 28.125 (26.882)	
Epoch: [1][440/449]	Time 0.210 (0.199)	Loss 1.7793 (1.7870)	Prec@1 20.312 (26.854)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [1][113/113]	Time 0.017 (0.062)	Loss 1.8484 (1.9365)	Prec@1 20.000 (25.188)	
Best accuracy:  25.188074672610757
Epoch: [2][10/449]	Time 0.211 (0.218)	Loss 1.7819 (1.7410)	Prec@1 28.125 (29.844)	
Epoch: [2][20/449]	Time 0.210 (0.213)	Loss 1.7221 (1.7453)	Prec@1 29.688 (28.438)	
Epoch: [2][30/449]	Time 0.209 (0.211)	Loss 1.8500 (1.7480)	Prec@1 23.438 (28.333)	
Epoch: [2][40/449]	Time 0.208 (0.211)	Loss 1.8264 (1.7629)	Prec@1 31.250 (28.008)	
Epoch: [2][50/449]	Time 0.211 (0.210)	Loss 1.7498 (1.7589)	Prec@1 28.125 (28.406)	
