
Randaugment!
Number of final features: 573
Number of model parameters: 1854556
Epoch: [2][60/449]	Time 0.351 (0.353)	Loss 1.8110 (1.7493)	Prec@1 21.875 (29.089)	
Epoch: [2][70/449]	Time 0.353 (0.353)	Loss 1.8824 (1.7569)	Prec@1 20.312 (28.348)	
Epoch: [2][80/449]	Time 0.349 (0.353)	Loss 1.7718 (1.7560)	Prec@1 29.688 (28.535)	
Epoch: [2][90/449]	Time 0.348 (0.353)	Loss 1.7897 (1.7619)	Prec@1 32.812 (28.264)	
Epoch: [2][100/449]	Time 0.352 (0.352)	Loss 1.7175 (1.7623)	Prec@1 26.562 (28.312)	
Epoch: [2][110/449]	Time 0.351 (0.352)	Loss 1.7692 (1.7633)	Prec@1 26.562 (28.182)	
Epoch: [2][120/449]	Time 0.353 (0.352)	Loss 1.7071 (1.7613)	Prec@1 23.438 (28.255)	
Epoch: [2][130/449]	Time 0.334 (0.351)	Loss 1.6584 (1.7617)	Prec@1 28.125 (27.909)	
Epoch: [2][140/449]	Time 0.338 (0.350)	Loss 1.7404 (1.7616)	Prec@1 29.688 (27.824)	
Epoch: [2][150/449]	Time 0.353 (0.349)	Loss 1.6851 (1.7595)	Prec@1 28.125 (27.812)	
Epoch: [2][160/449]	Time 0.350 (0.349)	Loss 1.8077 (1.7590)	Prec@1 29.688 (27.939)	
Epoch: [2][170/449]	Time 0.353 (0.349)	Loss 1.7336 (1.7569)	Prec@1 29.688 (28.088)	
Epoch: [2][180/449]	Time 0.354 (0.349)	Loss 1.7524 (1.7558)	Prec@1 21.875 (28.116)	
Epoch: [2][190/449]	Time 0.355 (0.349)	Loss 1.7918 (1.7563)	Prec@1 25.000 (28.076)	
Epoch: [2][200/449]	Time 0.352 (0.350)	Loss 1.6773 (1.7547)	Prec@1 35.938 (28.156)	
Epoch: [2][210/449]	Time 0.352 (0.350)	Loss 1.7427 (1.7533)	Prec@1 32.812 (28.170)	
Epoch: [2][220/449]	Time 0.348 (0.350)	Loss 1.7310 (1.7517)	Prec@1 32.812 (28.224)	
Epoch: [2][230/449]	Time 0.350 (0.350)	Loss 1.6865 (1.7508)	Prec@1 26.562 (28.173)	
Epoch: [2][240/449]	Time 0.348 (0.350)	Loss 1.7233 (1.7501)	Prec@1 39.062 (28.346)	
Epoch: [2][250/449]	Time 0.353 (0.350)	Loss 1.8603 (1.7504)	Prec@1 28.125 (28.269)	
Epoch: [2][260/449]	Time 0.352 (0.350)	Loss 1.8307 (1.7502)	Prec@1 25.000 (28.263)	
Epoch: [2][270/449]	Time 0.357 (0.350)	Loss 1.8092 (1.7500)	Prec@1 25.000 (28.247)	
Epoch: [2][280/449]	Time 0.352 (0.350)	Loss 1.6939 (1.7495)	Prec@1 37.500 (28.348)	
Epoch: [2][290/449]	Time 0.347 (0.350)	Loss 1.6401 (1.7485)	Prec@1 35.938 (28.427)	
Epoch: [2][300/449]	Time 0.353 (0.349)	Loss 1.6137 (1.7465)	Prec@1 32.812 (28.500)	
Epoch: [2][310/449]	Time 0.346 (0.349)	Loss 1.8295 (1.7473)	Prec@1 18.750 (28.498)	
Epoch: [2][320/449]	Time 0.355 (0.349)	Loss 1.6792 (1.7471)	Prec@1 35.938 (28.511)	
Epoch: [2][330/449]	Time 0.237 (0.349)	Loss 1.6826 (1.7465)	Prec@1 26.562 (28.532)	
Epoch: [2][340/449]	Time 0.352 (0.349)	Loss 1.6236 (1.7451)	Prec@1 32.812 (28.608)	
Epoch: [2][350/449]	Time 0.351 (0.349)	Loss 1.7334 (1.7453)	Prec@1 28.125 (28.616)	
Epoch: [2][360/449]	Time 0.350 (0.349)	Loss 1.6739 (1.7458)	Prec@1 35.938 (28.655)	
Epoch: [2][370/449]	Time 0.352 (0.349)	Loss 1.6823 (1.7454)	Prec@1 31.250 (28.746)	
Epoch: [2][380/449]	Time 0.357 (0.349)	Loss 1.6169 (1.7449)	Prec@1 35.938 (28.766)	
Epoch: [2][390/449]	Time 0.352 (0.349)	Loss 1.7945 (1.7449)	Prec@1 15.625 (28.802)	
Epoch: [2][400/449]	Time 0.350 (0.349)	Loss 1.5979 (1.7442)	Prec@1 42.188 (28.816)	
