
Randaugment!
Number of final features: 678
Number of model parameters: 2499301
Epoch: [1][340/449]	Time 0.335 (0.444)	Loss 1.7811 (1.8011)	Prec@1 23.438 (26.360)	
Epoch: [1][350/449]	Time 0.448 (0.444)	Loss 1.7711 (1.8004)	Prec@1 25.000 (26.393)	
Epoch: [1][360/449]	Time 0.448 (0.444)	Loss 2.0004 (1.8001)	Prec@1 14.062 (26.385)	
Epoch: [1][370/449]	Time 0.449 (0.444)	Loss 1.7886 (1.7993)	Prec@1 18.750 (26.436)	
Epoch: [1][380/449]	Time 0.449 (0.444)	Loss 1.8316 (1.7992)	Prec@1 15.625 (26.435)	
Epoch: [1][390/449]	Time 0.453 (0.444)	Loss 1.7938 (1.7985)	Prec@1 25.000 (26.414)	
Epoch: [1][400/449]	Time 0.447 (0.445)	Loss 1.7383 (1.7975)	Prec@1 20.312 (26.484)	
Epoch: [1][410/449]	Time 0.449 (0.445)	Loss 1.9088 (1.7986)	Prec@1 23.438 (26.406)	
Epoch: [1][420/449]	Time 0.450 (0.445)	Loss 1.7749 (1.7980)	Prec@1 23.438 (26.436)	
Epoch: [1][430/449]	Time 0.446 (0.445)	Loss 1.8042 (1.7981)	Prec@1 25.000 (26.432)	
Epoch: [1][440/449]	Time 0.453 (0.445)	Loss 1.8783 (1.7981)	Prec@1 32.812 (26.399)	
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
Test: [1][113/113]	Time 0.036 (0.132)	Loss 1.8021 (1.8625)	Prec@1 40.000 (25.202)	
Best accuracy:  25.20200612984118
Epoch: [2][10/449]	Time 0.449 (0.456)	Loss 1.7663 (1.7534)	Prec@1 25.000 (27.656)	
Epoch: [2][20/449]	Time 0.448 (0.453)	Loss 1.5993 (1.7554)	Prec@1 43.750 (28.594)	
Epoch: [2][30/449]	Time 0.453 (0.452)	Loss 1.8940 (1.7681)	Prec@1 23.438 (27.604)	
Epoch: [2][40/449]	Time 0.455 (0.451)	Loss 1.9027 (1.7754)	Prec@1 20.312 (27.227)	
Epoch: [2][50/449]	Time 0.447 (0.451)	Loss 1.8604 (1.7791)	Prec@1 17.188 (26.969)	
Epoch: [2][60/449]	Time 0.448 (0.451)	Loss 1.7575 (1.7787)	Prec@1 28.125 (27.135)	
Epoch: [2][70/449]	Time 0.435 (0.448)	Loss 1.7346 (1.7818)	Prec@1 34.375 (26.808)	
Epoch: [2][80/449]	Time 0.431 (0.446)	Loss 1.7961 (1.7816)	Prec@1 18.750 (26.465)	
Epoch: [2][90/449]	Time 0.449 (0.445)	Loss 1.9339 (1.7840)	Prec@1 23.438 (26.372)	
Epoch: [2][100/449]	Time 0.439 (0.444)	Loss 1.6727 (1.7830)	Prec@1 32.812 (26.484)	
Epoch: [2][110/449]	Time 0.442 (0.444)	Loss 1.7710 (1.7847)	Prec@1 26.562 (26.420)	
Epoch: [2][120/449]	Time 0.300 (0.443)	Loss 1.7612 (1.7870)	Prec@1 32.812 (26.328)	
Epoch: [2][130/449]	Time 0.448 (0.443)	Loss 1.7637 (1.7863)	Prec@1 21.875 (26.178)	
Epoch: [2][140/449]	Time 0.448 (0.443)	Loss 1.8259 (1.7849)	Prec@1 28.125 (26.362)	
Epoch: [2][150/449]	Time 0.451 (0.444)	Loss 1.6926 (1.7842)	Prec@1 23.438 (26.198)	
Epoch: [2][160/449]	Time 0.453 (0.444)	Loss 1.8052 (1.7833)	Prec@1 25.000 (26.143)	
Epoch: [2][170/449]	Time 0.450 (0.444)	Loss 1.7443 (1.7824)	Prec@1 26.562 (26.287)	
Epoch: [2][180/449]	Time 0.445 (0.444)	Loss 1.8014 (1.7797)	Prec@1 28.125 (26.536)	
Epoch: [2][190/449]	Time 0.450 (0.445)	Loss 1.7213 (1.7782)	Prec@1 28.125 (26.653)	
Epoch: [2][200/449]	Time 0.446 (0.445)	Loss 1.7434 (1.7766)	Prec@1 31.250 (26.719)	
Epoch: [2][210/449]	Time 0.443 (0.445)	Loss 1.7976 (1.7737)	Prec@1 18.750 (26.905)	
Epoch: [2][220/449]	Time 0.450 (0.445)	Loss 1.6997 (1.7720)	Prec@1 35.938 (27.045)	
Epoch: [2][230/449]	Time 0.449 (0.445)	Loss 1.6730 (1.7698)	Prec@1 35.938 (27.167)	
Epoch: [2][240/449]	Time 0.449 (0.446)	Loss 1.6322 (1.7685)	Prec@1 31.250 (27.194)	
Epoch: [2][250/449]	Time 0.446 (0.446)	Loss 1.7307 (1.7690)	Prec@1 29.688 (27.144)	
Epoch: [2][260/449]	Time 0.453 (0.446)	Loss 1.8084 (1.7678)	Prec@1 26.562 (27.109)	
Epoch: [2][270/449]	Time 0.447 (0.446)	Loss 1.6806 (1.7672)	Prec@1 34.375 (27.193)	
Epoch: [2][280/449]	Time 0.448 (0.446)	Loss 1.7672 (1.7670)	Prec@1 20.312 (27.232)	
Epoch: [2][290/449]	Time 0.448 (0.446)	Loss 1.7100 (1.7667)	Prec@1 32.812 (27.252)	
Epoch: [2][300/449]	Time 0.438 (0.445)	Loss 1.9039 (1.7671)	Prec@1 20.312 (27.266)	
Epoch: [2][310/449]	Time 0.452 (0.444)	Loss 1.8543 (1.7655)	Prec@1 23.438 (27.354)	
Epoch: [2][320/449]	Time 0.452 (0.445)	Loss 1.8850 (1.7659)	Prec@1 17.188 (27.388)	
Epoch: [2][330/449]	Time 0.446 (0.445)	Loss 1.7622 (1.7657)	Prec@1 28.125 (27.434)	
Epoch: [2][340/449]	Time 0.450 (0.445)	Loss 1.6746 (1.7651)	Prec@1 37.500 (27.482)	
Epoch: [2][350/449]	Time 0.447 (0.445)	Loss 1.7732 (1.7643)	Prec@1 25.000 (27.571)	
Epoch: [2][360/449]	Time 0.443 (0.445)	Loss 1.6495 (1.7622)	Prec@1 32.812 (27.708)	
Epoch: [2][370/449]	Time 0.448 (0.445)	Loss 1.7737 (1.7617)	Prec@1 21.875 (27.673)	
Epoch: [2][380/449]	Time 0.453 (0.445)	Loss 1.7469 (1.7620)	Prec@1 34.375 (27.673)	
Epoch: [2][390/449]	Time 0.447 (0.445)	Loss 1.7734 (1.7603)	Prec@1 18.750 (27.712)	
Epoch: [2][400/449]	Time 0.446 (0.445)	Loss 1.7068 (1.7599)	Prec@1 31.250 (27.703)	
